"","Nombre","Año","Fecha","URL","Código","Kilómetros","Precio","Precio.anterior","Tipo.de.vehículo","Combustible","Transmisión","Edad","Precio.USD","Kilómetros.miles","make","model","source","MakeModel"
"1","TOYOTA 4RUNNERLIMITED 4X4",2013,"2016-11-14","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2013_4x4_3_fila___unica_duena_36484511.htm",36484511,46000,18980000,NA,"4x4","Bencina","Automático",3,29020,46,"Toyota","4Runner","Yapo",NA
"2","TOYOTA 4RUNNERLUJO SR5 4X2",2007,"2016-11-14","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2007_36443922.htm",36443922,189000,6100000,NA,"Camioneta","Bencina","Automático",9,9327,189,"Toyota","4Runner","Yapo",NA
"3","TOYOTA 4RUNNERLUJO SR5 4X2",2011,"2016-11-14","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2011_36351133.htm",36351133,101000,12200000,NA,"Camioneta","Bencina","Automático",5,18654,101,"Toyota","4Runner","Yapo",NA
"4","TOYOTA 4RUNNER4RUNNER",2015,"2016-11-14","http://www.yapo.cl/region_metropolitana/autos/toyota_4_runner__36474380.htm",36474380,26500,17200000,NA,"Camioneta","Bencina","Manual",1,26298,26.5,"Toyota","4Runner","Yapo",NA
"5","TOYOTA 4RUNNERSR5 62410",2009,"2016-11-14","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_sr5_4x2_2009_36473128.htm",36473128,107000,7990000,NA,"4x4","Bencina","Automático",7,12217,107,"Toyota","4Runner","Yapo",NA
"6","TOYOTA 4RUNNERLIMITED 4X2",2014,"2016-10-26","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_35060704.htm",35060704,42000,11980000,1.2e+07,"4x4","Bencina","Automático",2,18317,42,"Toyota","4Runner","Yapo",NA
"7","TOYOTA 4RUNNER",2009,"2016-11-14","http://www.yapo.cl/region_metropolitana/autos/toyota_runner_2009_full_automatico_4x2_creditos_36467463.htm",36467463,180000,7990000,NA,"Automóvil","Bencina","Automático",7,12217,180,"Toyota","4Runner","Yapo",NA
"8","TOYOTA 4RUNNERLIMITED 4X4",2012,"2016-11-14","http://www.yapo.cl/region_metropolitana/autos/toyota_4_runner_2012_36466926.htm",36466926,101000,15200000,NA,"4x4","Bencina","Automático",4,23240,101,"Toyota","4Runner","Yapo",NA
"9","TOYOTA 4RUNNER4X2 LUJO V6 5 VE",2004,"2016-11-14","http://www.yapo.cl/region_metropolitana/autos/toyota_4_runner_36462702.htm",36462702,190000,4900000,NA,"4x4","Bencina","Automático",12,7492,190,"Toyota","4Runner","Yapo",NA
"10","TOYOTA 4RUNNERLUJO SR5 4X2",2005,"2016-11-13","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2005_36457478.htm",36457478,2e+05,5850000,NA,"Automóvil","Bencina","Automático",11,8945,200,"Toyota","4Runner","Yapo",NA
"11","TOYOTA 4RUNNERSR5 4X4",2004,"2016-11-13","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_impecable_36453610.htm",36453610,80000,6300000,NA,"4x4","Bencina","Automático",12,9633,80,"Toyota","4Runner","Yapo",NA
"12","TOYOTA 4RUNNERLIMITED 4X2",2013,"2016-11-13","http://www.yapo.cl/region_metropolitana/autos/camioneta_toyota_4x2_36449725.htm",36449725,55000,14500000,NA,"Camioneta","Bencina","Automático",3,22170,55,"Toyota","4Runner","Yapo",NA
"13","TOYOTA 4RUNNERLIMITED 4X2",2005,"2016-11-13","http://www.yapo.cl/region_metropolitana/autos/toyota_4_runner_2005_36445394.htm",36445394,90000,4600000,NA,"Camioneta","Bencina","Automático",11,7033,90,"Toyota","4Runner","Yapo",NA
"14","TOYOTA 4RUNNERSR5 4X4",2009,"2016-11-12","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2009_36405594.htm",36405594,115000,8400000,NA,"4x4","Bencina","Automático",7,12843,115,"Toyota","4Runner","Yapo",NA
"15","TOYOTA 4RUNNER4RUNNER",2011,"2016-11-12","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_36404899.htm",36404899,98600,10650000,NA,"4x4","Bencina","Automático",5,16284,98.6,"Toyota","4Runner","Yapo",NA
"16","TOYOTA 4RUNNERSR5 4X4",2012,"2016-11-12","http://www.yapo.cl/region_metropolitana/autos/toyota_4_runner_2012_36401073.htm",36401073,78000,1.3e+07,NA,"4x4","Bencina","Manual",4,19877,78,"Toyota","4Runner","Yapo",NA
"17","TOYOTA 4RUNNER4X2 LUJO V6 5 VE",2009,"2016-11-11","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2009_36379565.htm",36379565,141000,7980000,NA,"Automóvil","Bencina","Automático",7,12201,141,"Toyota","4Runner","Yapo",NA
"18","TOYOTA 4RUNNERLIMITED 4X2",2010,"2016-10-26","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2010_limited_4x2_35882093.htm",35882093,112000,11400000,NA,"4x4","Bencina","Automático",6,17430,112,"Toyota","4Runner","Yapo",NA
"19","TOYOTA 4RUNNERSR5 4X4",2009,"2016-11-11","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2009_36375381.htm",36375381,109000,7950000,NA,"4x4","Bencina","Automático",7,12155,109,"Toyota","4Runner","Yapo",NA
"20","TOYOTA 4RUNNERLIMITED 4X2",2010,"2016-11-11","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_36372060.htm",36372060,9700,10200000,NA,"Camioneta","Bencina","Automático",6,15596,9.7,"Toyota","4Runner","Yapo",NA
"23","TOYOTA 4RUNNER4RUNNER",2007,"2016-11-10","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2007_36355484.htm",36355484,131000,6690000,NA,"4x4","Bencina","Automático",9,10229,131,"Toyota","4Runner","Yapo",NA
"24","TOYOTA 4RUNNERLUJO SR5 4X2",2005,"2016-11-10","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2005_36341772.htm",36341772,193000,5600000,NA,"4x4","Bencina","Automático",11,8562,193,"Toyota","4Runner","Yapo",NA
"25","TOYOTA 4RUNNERSR5 62419",2011,"2016-11-10","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2011_36341122.htm",36341122,81300,10500000,NA,"Camioneta","Bencina","Automático",5,16054,81.3,"Toyota","4Runner","Yapo",NA
"26","TOYOTA 4RUNNERSR5 4X4",2015,"2016-11-09","http://www.yapo.cl/region_metropolitana/autos/toyota_all_new_4runner_sr5_4x4_4_0_aut___2015_36325794.htm",36325794,52427,17500000,17900000,"4x4","Bencina","Automático",1,26757,52.427,"Toyota","4Runner","Yapo",NA
"27","TOYOTA 4RUNNERSR5 4X4",2012,"2016-11-09","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2012_36325410.htm",36325410,135000,13380000,NA,"4x4","Bencina","Automático",4,20458,135,"Toyota","4Runner","Yapo",NA
"28","TOYOTA 4RUNNER4RUNNER",2011,"2016-11-09","http://www.yapo.cl/region_metropolitana/autos/vendo_toyota_yaris_2011_36310646.htm",36310646,65000,4700000,NA,"Automóvil","Bencina","Manual",5,7186,65,"Toyota","4Runner","Yapo",NA
"29","TOYOTA 4RUNNERLUJO V6 5VEL 4WD",2006,"2016-11-09","http://www.yapo.cl/region_metropolitana/autos/4runner_impecable_urgente_36055212.htm",36055212,158000,6700000,7190000,"4x4","Bencina","Automático",10,10244,158,"Toyota","4Runner","Yapo",NA
"30","TOYOTA 4RUNNER4RUNNER",2005,"2016-11-08","http://www.yapo.cl/region_metropolitana/autos/toyota_runner_2005_36287024.htm",36287024,170000,4850000,NA,"Camioneta","Bencina","Automático",11,7416,170,"Toyota","4Runner","Yapo",NA
"31","TOYOTA 4RUNNERSR5 4X4",2010,"2016-11-08","http://www.yapo.cl/region_metropolitana/autos/vendo_toyota_4runner_ano_2010_4x4_excelente_estado_36283200.htm",36283200,103000,10500000,NA,"4x4","Bencina","Automático",6,16054,103,"Toyota","4Runner","Yapo",NA
"33","TOYOTA 4RUNNERSR5 LUJO 3 CORRIDA AST",2013,"2016-11-07","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_sr5_2013_4x2_36252727.htm",36252727,88000,14490000,NA,"Camioneta","Bencina","Automático",3,22155,88,"Toyota","4Runner","Yapo",NA
"34","TOYOTA 4RUNNERSR5 4X4",2011,"2016-11-07","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2011_4x4_36235718.htm",36235718,130000,11500000,NA,"4x4","Bencina","Automático",5,17583,130,"Toyota","4Runner","Yapo",NA
"35","TOYOTA 4RUNNER4RUNNER",2008,"2016-11-07","http://www.yapo.cl/region_metropolitana/autos/vendo_toyota_4runner_4x4_2008_36232062.htm",36232062,165000,7500000,NA,"4x4","Bencina","Automático",8,11467,165,"Toyota","4Runner","Yapo",NA
"36","TOYOTA 4RUNNERLIMITED 4X2",2005,"2016-11-07","http://www.yapo.cl/region_metropolitana/autos/camionetas_36230840.htm",36230840,152853,5800000,NA,"4x4","Bencina","Automático",11,8868,152.853,"Toyota","4Runner","Yapo",NA
"37","TOYOTA 4RUNNERSR5 4X4",2011,"2016-11-06","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2011_sr5_4x4_unico_dueno_36215622.htm",36215622,76500,12300000,NA,"4x4","Bencina","Automático",5,18806,76.5,"Toyota","4Runner","Yapo",NA
"38","TOYOTA 4RUNNER4X2 LUJO V6 5 VE",2005,"2016-11-05","http://www.yapo.cl/region_metropolitana/autos/vendo_toyota_4_runner_2005__36167686.htm",36167686,118000,6680000,NA,"4x4","Bencina","Automático",11,10214,118,"Toyota","4Runner","Yapo",NA
"39","TOYOTA 4RUNNERLIMITED 4X2",2015,"2016-11-03","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2015_36129629.htm",36129629,25284,11500000,NA,"4x4","Bencina","Manual",1,17583,25.284,"Toyota","4Runner","Yapo",NA
"40","TOYOTA 4RUNNER",2011,"2016-11-03","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2011_4x2_sr5_automatica_36126464.htm",36126464,64000,10500000,NA,"Automóvil","Bencina","Automático",5,16054,64,"Toyota","4Runner","Yapo",NA
"41","TOYOTA 4RUNNERSR5 LUJO 3 CORRIDA AST",2012,"2016-11-03","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2012_3_corridas_de_asiento_36117940.htm",36117940,43000,13300000,NA,"4x4","Bencina","Automático",4,20335,43,"Toyota","4Runner","Yapo",NA
"42","TOYOTA 4RUNNER4RUNNER",2011,"2016-10-04","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2011_34688193.htm",34688193,66000,11990000,12990000,"4x4","Bencina","Automático",5,18332,66,"Toyota","4Runner","Yapo",NA
"44","TOYOTA 4RUNNERLUJO SR5 4X2",2006,"2016-11-03","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_sr5_4x2_134_000kms__2006_36101923.htm",36101923,134000,6490000,NA,"4x4","Bencina","Automático",10,9923,134,"Toyota","4Runner","Yapo",NA
"45","TOYOTA 4RUNNER4X2 LUJO V6 5 VE",2006,"2016-11-02","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_36087645.htm",36087645,106000,7750000,8e+06,"4x4","Bencina","Automático",10,11850,106,"Toyota","4Runner","Yapo",NA
"46","TOYOTA 4RUNNER4RUNNER",2008,"2016-11-02","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_36087443.htm",36087443,200,7300000,NA,"4x4","Bencina","Manual",8,11162,0.2,"Toyota","4Runner","Yapo",NA
"47","TOYOTA 4RUNNERLUJO SR5 4X2",2012,"2016-11-02","http://www.yapo.cl/region_metropolitana/autos/toyota_4_runner_4x2_2012_36063719.htm",36063719,78000,12990000,NA,"4x4","Bencina","Automático",4,19861,78,"Toyota","4Runner","Yapo",NA
"48","TOYOTA 4RUNNERSR",2008,"2016-11-02","http://www.yapo.cl/region_metropolitana/autos/toyota_4runner_2008_36062941.htm",36062941,2e+05,7500000,NA,"Automóvil","Bencina","Automático",8,11467,200,"Toyota","4Runner","Yapo",NA
"49","TOYOTA 4RUNNERSR5 LUJO 3 CORRIDA AST",2014,"2016-11-02","http://www.yapo.cl/region_metropolitana/autos/totota_runner_sr5_autm__4_2_escucho_ofertas_36058985.htm",36058985,50000,14990000,15990000,"4x4","Bencina","Automático",2,22919,50,"Toyota","4Runner","Yapo",NA
